V1,C1,V2,C2,V1_s,F_in1,F_in2
23.45783025619773,3.8266202766347854,77.21287678452997,3.799601774296767,23.45783025619773,3.2063979823967825,2.5572928515570545
25.792969190254503,4.034260865806155,73.98131735967904,3.5795240371718906,25.792969190254503,3.2063979823967825,2.5572928515570545
28.476944972917874,4.091205163417069,70.73285780302332,3.555222285012139,28.476944972917874,3.2063979823967825,2.5572928515570545
29.59877524745912,4.078412721115292,69.13185895684946,3.4569890853090444,29.59877524745912,3.2063979823967825,2.5572928515570545
31.90179983704524,3.98759079068376,66.96331182708066,3.29403112137592,31.90179983704524,3.2063979823967825,2.5572928515570545
33.782435630299915,3.9840833181111863,67.38511081793473,3.272950781622544,33.782435630299915,3.2063979823967825,2.5572928515570545
35.44925574986363,3.764862801385682,63.738739022553155,3.1819741727511985,35.44925574986363,3.2063979823967825,2.5572928515570545
36.78862516182705,3.8172113274135846,63.70722908288884,3.137012288703542,36.78862516182705,3.2063979823967825,2.5572928515570545
37.443260450405596,3.7608558349374848,61.934022542288226,3.0091256123714194,37.443260450405596,3.2063979823967825,2.5572928515570545
38.98024609842283,3.5158689612987573,60.64800577145167,3.0736933421571693,38.98024609842283,3.2063979823967825,2.5572928515570545
40.04418323476399,3.47857973390711,59.66973373014611,3.022440316577006,40.04418323476399,3.2063979823967825,2.5572928515570545
40.5559507633612,3.3930498328854863,58.96410227499729,2.8924446303069553,40.5559507633612,3.2063979823967825,2.5572928515570545
42.77271894091087,3.3796816531667115,57.516939621233085,2.894503969514135,42.77271894091087,3.2063979823967825,2.5572928515570545
42.51563531672576,3.2815781494674887,56.07993911915321,2.996054438341529,42.51563531672576,3.2063979823967825,2.5572928515570545
43.407888778208545,3.2501830705627723,57.04818609995446,2.8434603647016243,43.407888778208545,3.2063979823967825,2.5572928515570545
43.70730109220653,3.2170927924018917,55.92269681768771,2.9096097981557167,43.70730109220653,3.2063979823967825,2.5572928515570545
44.57258685965827,3.112282199956101,56.18573595097584,2.937924017330963,44.57258685965827,3.2063979823967825,2.5572928515570545
43.99391668496172,3.1612189767786028,56.06328859119483,2.9357356820374063,43.99391668496172,3.2063979823967825,2.5572928515570545
45.48793777090336,2.975104309133246,54.81040678250479,2.8196581204643456,45.48793777090336,3.2063979823967825,2.5572928515570545
46.16957371008998,2.8160601937766394,54.651957749717106,2.85634708842337,46.16957371008998,11.221048119704562,18.14785433547937
46.18043047243138,2.6888866107035363,54.65098419039911,2.89541726960962,46.18043047243138,11.221048119704562,18.14785433547937
46.53515457016678,2.6009872516323815,53.652784987461025,2.8407529982532678,46.53515457016678,11.221048119704562,18.14785433547937
46.7887541582765,2.5269789052271223,53.18570238772338,2.7541184322690255,46.7887541582765,11.221048119704562,18.14785433547937
47.55064310764434,2.453100076712294,52.23622530139298,2.9359281344147057,47.55064310764434,11.221048119704562,18.14785433547937
48.46815081181534,2.3778676834386134,52.09468439128652,2.8651169783591754,48.46815081181534,11.221048119704562,18.14785433547937
